word,x_values,y_values
shot,0.0027198927,-0.002225066
success,0.0067680194,-0.0032609252
structured,-0.0009721984,0.0033071788
search,0.0013166015,0.0023353384
potentially,-0.00208856,-0.0024773031
higher,0.002226331,0.004323365
margin,-0.0037764036,-0.00252462
model,-0.0030730027,0.0027124106
guess,0.0047328463,0.0035098034
pretty,0.006877235,-0.0027578552
desperate,-0.0035953566,0.0012443777
give,0.005961571,0.00029414115
attention,0.0019805317,-0.00047366132
shipment,0.0033961134,0.00048759353
daily,-0.0013867057,-0.0053366483
follow,0.0057999725,-0.00088875834
appleatxdt,0.0054646935,0.0031805567
update,0.0069668493,-0.0083190445
seems,-0.0030873294,0.0056097177
find,0.0067998297,0.00027237867
secret,0.004092448,0.0029106422
batphone,-0.0029421267,0.009497557
barry,-0.003246936,0.002668591
diller,-0.004172216,-0.0014298919
think,0.006637431,0.0008113108
content,-0.0018848955,-0.0012540855
nut,-0.0015012792,0.0013004417
docomo,0.005262736,0.0021159058
introduced,-0.00066599884,0.0005699049
came,-0.0015782797,-0.0019034419
jpmobilesummit,0.006292933,0.0027945149
jeez,-0.003848877,-0.0013798272
guy,-0.0007391776,0.008341525
dunno,0.0023098763,0.0054445346
gold,-0.0023223106,0.0011413553
realize,-0.0028480375,0.0013677527
job,0.003077234,-0.0030483287
aesthetic,-0.006553702,-0.00017759342
better,-0.0052314727,-0.001603985
stream,0.0021177412,0.002701223
inane,-0.002282782,0.00044906116
surely,-0.00037684568,-0.0032990305
southby,-0.003867385,-0.0031976625
getting,0.0006698174,0.0031817548
full,-0.008429914,0.00045343916
underway,0.003655642,0.003934602
tell,-0.0022091025,0.0027453934
intermittent,0.0028530466,0.00014008995
brick,-0.006585639,0.0058347234
length,-0.0032549414,0.0004647746
penalty,-0.0005424479,0.00052403664
based,-0.0002569941,0.0054568583
severity,-0.0042656865,-0.00021103391
breach,-0.0006289934,3.2189488e-05
webmaster,0.0016206586,-0.0010157154
guideline,3.1780088e-05,0.004871994
white,0.004996553,-0.00339938
text,0.004195422,0.00029840387
qagb,-0.00056061894,0.0055499375
major,-0.0012685102,-0.00089758437
network,-0.0027933032,0.0012198595
called,-0.0060027665,-0.0037901087
possibly,0.0016245388,-0.0031797108
today,-0.0009782788,0.0016109183
never,0.00017240504,0.0013697826
beat,-0.001670783,0.0033502132
myspace,0.0007893222,-0.002084748
bout,0.005040366,-0.0015030635
donating,0.0031943717,0.004143048
spending,-0.0012514436,-0.0010705519
really,-0.003048391,0.0003410453
feeling,0.0036462285,0.0030916315
worst,0.00054893765,0.0013970911
place,-0.0010813127,-0.0030196654
everyone,-0.0063778358,-0.0037313001
techiesunite,-0.0064483783,0.005480174
thought,-0.0030736814,-0.0010636979
would,-0.002027338,0.0015370938
touched,-0.0051305825,-0.0037125766
hmmzies,0.002543134,-0.002884636
interested,-0.005617248,0.004708777
location,0.0020625058,0.001178053
tech,0.00043201586,0.0039622323
indoor,-0.0044412035,0.0046295365
venue,-0.0013495313,-0.0026524542
business,0.00028812332,0.0013697611
convention,-0.0018961291,-0.005227356
center,0.0037802516,0.0015456883
improve,-0.0022675102,-0.0007504591
first,-0.0024790596,0.0011428572
exist,-0.0095234765,-0.0036468366
feel,0.0029142736,-0.0012810263
like,-0.0019599034,-0.0030507639
pulling,0.004155592,-0.0022929737
antique,0.0038567109,-9.729824e-06
everytime,-0.008292941,-0.0009851427
shoot,0.00073195953,0.0058105104
display,-0.0030766313,0.0034895618
result,0.0010178282,0.0008760067
question,0.0033974857,-0.0030272815
later,0.0009820927,-0.0005898072
osmpw,-0.0048714895,-0.0015807472
mocking,-0.0022091882,0.0006610582
long,-0.0016846709,0.0010145067
time,-0.0026330478,-0.0025442692
disliking,-0.0006466903,0.0032013613
twitter,-0.00089850964,-0.0055202893
auto,-0.00044628154,0.00024947614
shortening,-0.0053708167,0.000522935
overheating,-0.0036980233,0.005255204
british,-0.00997294,-0.001133927
sounding,0.0016705892,-0.00084548135
wilting,0.00433653,-0.0007312155
stress,0.006047337,-0.0018327105
pixieengine,-0.0029882665,-0.0032946628
future,-0.00461912,0.008230975
cnn,-0.0040865573,0.0005461495
week,0.005560389,0.0013032546
tough,-0.0024913435,0.00254653
dwindling,-0.000508074,-0.0015307681
help,-0.0006165957,-0.0034501927
jeebus,0.0003085376,-0.0039017706
correcting,-0.00050358335,-0.00367919
curse,-0.00039983963,0.0030181105
word,0.0016070292,-0.0011894981
updated,0.0032773372,0.004451521
launched,-0.0010673704,0.00032100588
soon,0.00063804764,0.0008684365
care,9.154547e-05,0.000883471
product,2.9820862e-05,0.00034519917
exists,0.0039267577,-0.004354238
imac,0.0008379847,-0.0009248338
macbook,0.003335611,-0.0033635912
staring,0.0042504463,-0.000766674
enough,-0.0034766735,-0.002874687
read,0.0015521997,0.0020006818
book,0.0032616104,0.0015796353
remember,0.0022013637,0.001358657
wth,0.0041846335,-0.0037596698
compiling,0.002416191,-0.002541051
list,-0.0034074564,-0.0028742987
taking,-0.00071325677,0.0029347963
longer,-0.0026352236,0.002887235
party,0.005394641,0.006737809
good,-0.0067104255,-0.0028416086
musician,0.0021039117,0.0021689245
kicked,0.0019229327,0.0029718291
bucket,0.004433336,0.0020709774
heck,0.0003848563,-0.004421706
within,0.0028747169,-0.0077030333
walking,-0.0010028833,0.0021754939
distance,-0.00449119,0.001241374
unequipped,0.0043442147,-0.0028478329
compared,-0.002274308,-0.006118112
else,-0.006597884,-0.00092824077
dang,-0.0018453071,0.00242459
another,-0.00051461597,-3.106197e-05
launching,-0.0041017444,-0.003968954
anything,0.00058550993,0.0024343051
partying,-0.0008360211,0.0030027295
nothing,0.001061483,0.0020169453
teeming,0.0030635516,-0.0035386821
addict,0.0039531034,-0.0016162507
twittering,0.000722283,0.002834358
engage,-0.006326643,0.00050705596
anoth,0.0057671703,0.0015080753
cont,0.0045183147,-0.008243558
trend,-0.0013803551,-0.002113275
audience,0.005730087,-0.0043279068
sharing,-0.0044073784,0.0027724672
opinion,-0.00033677253,0.0024797495
holding,-0.009204415,0.0060136197
listen,-0.00065308344,1.4431261e-05
annoying,0.006780716,6.169182e-05
tomlinson,0.0041009504,-0.0043007797
observer,0.0021097423,0.008084808
subscription,-0.0061213397,-0.0039862557
data,0.0011287848,0.0055299303
biggest,0.0031361612,-0.007864889
impediment,-0.0014238703,-0.0053640665
newsapps,0.0044447593,-0.0017424475
open,-0.0003668302,0.0017839341
shop,-0.0003266398,-0.0033557215
spend,-0.0025211202,0.0009992517
waiting,-0.0023562082,0.00022552517
packing,-0.0017094257,0.0012499643
point,0.0023097964,0.006381213
showing,0.00095706654,0.004206273
fragmentation,0.0009062855,-0.005601718
left,0.0011177611,0.0021393723
pocket,0.0017298922,-0.0037818998
guide,0.0055644168,0.004402971
hotel,0.0095749125,0.0007543731
cope,0.005734192,0.00375983
usability,0.0024066477,0.003966137
problem,-0.0032874602,-0.00084231317
living,-0.0009983255,-0.0010187943
story,-0.002468416,-0.0011371054
creating,0.003141353,0.00022105989
change,0.0003425478,0.00296803
interface,-0.00049552147,-0.0033041195
hacknews,0.0022586265,0.0023447545
brilliant,-0.0005713332,0.0007350396
marketer,-0.003443788,0.0048436928
medium,-0.0029211405,-0.0038927444
professional,0.00042460076,-0.00063756417
save,-0.000504203,-0.004570684
usguys,-0.001737614,0.004980963
average,0.0029749495,0.0038816547
buzz,-0.0008437071,-0.0003550752
rule,-0.0006130418,-0.0014545801
ooing,0.0016432012,0.00016416468
ahing,-0.0018237091,-0.0030230002
deal,0.001326273,-0.00091236434
everybody,-0.00025290853,0.0004507937
connect,-0.005030756,-0.0056011896
internet,3.9955617e-06,-0.008406374
though,0.0003856685,-0.0026880414
wifi,-0.0010521626,-0.004121643
work,0.003035639,0.0038392923
great,0.00062381267,0.00039586556
computer,-0.006739428,-0.0056854924
suggestion,-0.0066752248,-0.0015177357
site,0.0019218987,0.0021430315
delicious,-0.0033654172,0.00089509867
often,-0.0011610043,-0.002748747
selling,0.0010894386,0.0013086505
release,0.00045223275,-0.00029077832
lord,-0.008820397,-0.0029418508
vortex,-0.005978074,-0.00032539663
smugness,0.002830805,0.00463172
unbearable,-0.0023065717,-0.0042095864
dangerous,-0.0008400697,0.001614104
went,-0.00827546,-0.0055736937
whole,-0.001361327,-0.00062683545
laptop,0.002273005,-0.0024725627
cloudapp,0.002886342,0.0035697827
typing,0.0052348683,-2.1690143e-05
skype,-0.0022907786,0.004750172
finger,-0.0048499582,-0.007670012
carry,-2.745094e-05,-0.0031786873
around,-0.002617493,-0.001676301
lame,-0.0019673703,0.0032854492
smell,-0.0010419704,0.0048092874
hereforwork,0.0002687852,-0.005596798
nottheipad,-0.0012200822,-0.0014390289
thank,0.00029663224,0.002929697
letting,-0.005705619,-0.0035328367
test,-0.0015901707,-0.0039164536
drive,4.860321e-05,0.0034790633
let,0.0054150154,-0.0059020673
phone,-0.0066238074,-0.00054330827
fail,0.0031920609,0.00019366811
okay,0.0047983797,-0.0038391768
debuting,-0.0027277695,-0.0030466549
futuremf,-0.0018298444,0.0026879378
trajan,0.0017061803,-0.0050123814
destroyed,-0.0036152948,0.0034482302
title,-0.00045076467,-0.0012370001
website,0.0054038605,-0.00069443666
graph,0.0010600918,0.0021891561
protocol,-0.0025371106,0.0018926217
added,-0.000259381,0.002461403
clean,-0.00029920234,0.0035278639
instead,0.0062218653,0.0029233564
weve,0.00013198797,-0.0025294845
talked,0.0003446283,0.00054936175
heyo,0.0017994572,0.0003150455
ridic,0.0029270097,0.0018297245
software,-0.0018417598,0.0012972862
download,-0.0032693811,0.002308118
luck,-0.0031234955,-0.007237848
wonder,-0.0023353915,0.00017916644
mexico,0.0039881645,0.00021138937
could,-0.0031729701,-0.0014369114
sorta,-0.0020968507,-0.00041624994
much,0.0043678666,-0.003471713
dense,0.0023343058,0.0028119367
vuelta,-0.001973081,0.0076275733
socialfuel,0.0023797879,-0.0024334036
para,-0.0024156726,-0.0054243985
gran,0.0031500228,0.0008637683
diferencia,-0.00056917284,-0.0051439255
revolution,0.0036682747,-0.0023784372
clumsily,-0.008817668,0.006968866
translated,-0.0016559842,3.2789532e-05
edchat,0.0026880938,-0.0048049674
musedchat,0.004096117,-0.00449629
classical,0.0004069256,0.0014828468
newtwitter,0.0023127778,0.0001443625
cocky,0.0056621493,0.0019185651
perhaps,0.0075865453,0.00050154794
separate,-0.0030556915,-0.0023389258
extra,-0.006984248,0.00017976419
marketing,-0.002901348,-0.004177024
disgusted,-0.0015260173,-0.00076740596
life,-0.002316242,-0.0006375344
strong,-0.002317531,-1.4308546e-05
overblown,-0.0030128201,0.0032170108
announcing,0.002251363,-0.0024831546
classiest,-0.0022273774,-0.0016261293
fascist,-0.0060077175,-0.0025817042
company,-0.0019323524,-0.0003024635
america,-0.003556712,-0.00046970186
elegant,0.0023623488,0.007455643
rji,0.0006338104,-0.0033736944
corrupted,0.009185636,0.0033723386
crazy,0.0037796353,-0.00062685646
bergstrom,0.0033424313,0.0010271828
midday,0.0056271246,0.005496614
outlet,0.0013412798,-0.00042961625
blocked,-0.00038788767,0.007248425
immobile,0.0043530096,-0.0010649997
booth,0.003713907,-0.0013744892
serf,0.0010168127,-0.005990871
purpose,-0.005022098,-0.004477511
taunt,-0.004037921,-0.0018589515
novelty,-0.0015614731,-0.0041763405
fade,-0.000630164,-0.0024719064
among,-0.0011353575,0.0041605993
digital,0.0037367968,-0.0013597442
delegate,0.00234848,0.006891558
xipad,-0.006087354,-0.0021199787
true,0.0022748937,0.0018285118
caring,0.0043971357,-0.00018382187
psych,-0.0024794484,-0.0011430297
shite,-0.001206241,-8.074059e-05
ubersocial,0.0013073764,1.3388945e-05
includes,0.005343351,0.0012177025
uberguide,0.006439258,-0.0026216253
sponso,-0.0022769915,-0.00050720206
started,0.0006178199,0.0045754197
lying,-0.0053426838,0.002005572
signal,0.00024471444,0.005479117
strength,-0.0038521446,-0.0014387206
nexus,0.0006905619,-0.005636586
useful,-0.004321606,0.002109872
hootsuite,-0.00032598776,-0.0020197982
tweetdeck,0.001560968,-0.0012663315
paper,0.0044922377,0.0032017936
mean,0.0034199287,0.0031301798
likely,4.1511903e-05,-0.0014389795
useless,0.0015929445,0.00014698305
well,-0.003739979,-8.152925e-05
worked,-0.0024115175,-0.0036391395
evil,0.00042139445,0.004662919
tapworthy,-0.00046429495,-0.0006439036
avoiding,0.0052999775,0.0002996285
pitfall,-0.006401509,-0.0024653585
challenge,-0.0009436924,-0.005039746
disaster,-0.0025632624,0.0018730023
died,0.0012908558,-0.00026252176
middle,0.0042391224,0.0012300952
function,-0.003893932,0.0043694326
heading,-0.0016610987,-0.003763074
march,0.0010893435,0.002395724
smackdown,0.007943472,-0.0009178739
banality,-0.004445969,-0.00020371428
batt,0.0009654248,-0.0017774666
shit,-0.003972266,-0.004541236
notevenstartedyet,0.00095796393,0.0053056283
selfish,0.00095203414,-0.0040058563
brand,0.0027088444,0.002762435
microsoft,0.0008937425,1.4578245e-05
served,0.005119623,0.0003242055
talk,-0.0001650619,-0.0016460158
mistake,-0.006993544,0.0021215938
building,0.0022528847,-0.00035624203
netflix,0.0018713605,-0.00579257
cwebb,0.00018984819,-0.00034191448
grant,-0.0019395776,0.0007075325
hill,-0.0006141281,-0.0005984184
take,0.006874217,-7.986324e-05
tablet,0.004405764,0.0033196402
call,0.0014104142,-0.0064371303
brain,0.0048357476,0.00055745395
apology,9.28853e-06,-0.0036446606
randy,-0.0033718892,0.0010144776
popping,-0.002003422,-0.0058452454
algorithm,0.0027816913,0.0013458945
skewed,0.0041929064,-0.0012821634
query,0.0009558322,-0.00059133983
attendee,0.0013957268,0.0043197526
makeshift,0.0049110427,0.0007919244
make,4.686797e-05,-0.0043526273
sense,-0.0004944034,0.0095973285
limit,-0.001422488,-0.0012982083
specific,-0.0022109295,0.00211226
platform,-0.00020575672,0.0022246996
interview,0.0057993326,-0.0019521533
kawasaki,0.0036230886,-0.0018663616
believe,0.0016467222,-0.0057312995
explanation,0.0029550719,7.955723e-05
continuous,-0.006064991,0.0011847063
survival,0.004738655,-0.0022938312
groupme,-0.0035825733,0.0030587604
approval,-0.004096149,0.0012762443
woe,0.0016887261,0.00078632555
group,-0.002256419,-0.0005875529
agree,0.00047608642,-0.004346135
whowillrise,-0.0049117375,0.004134292
love,-0.001514152,-0.0008222385
quite,-0.0058093346,-0.004691266
grumbling,0.0014942067,-0.0042767897
feature,0.0016816237,-0.0057834545
meetups,9.765036e-06,-0.004077601
austin,0.0033518616,0.0016800371
least,0.0063335267,0.0015807956
meetup,0.00123169,-0.0027703778
virtualwallet,0.003064532,0.004276354
standardization,-0.001760865,0.00085518026
confusion,0.005223479,0.0040523256
rear,0.0012591288,-0.00039636687
facing,-0.0012926754,0.006122849
camera,0.0013808089,-0.0018632646
ipod,0.0011029186,0.00067333184
hhrs,-0.0018551034,0.0016526063
lonely,-0.00083878724,0.0020001263
planet,0.00055329973,-0.00039537906
free,0.0019139835,-0.00214826
cluttering,0.0025015431,-0.005947507
handset,0.0024151765,-0.0004966794
failure,-0.0020100004,-0.0042617754
deleting,0.0021014228,0.0011196721
stop,-0.00041564848,-0.00076720974
loading,0.0032467314,-0.0012393475
draining,-0.004791484,0.001802184
cancel,0.0018541486,0.0045657787
project,-0.0029242618,-0.0009262278
manager,0.0067059607,0.0034306624
nowhammies,-1.7636418e-06,0.0009356424
betterthingstodo,-0.0030619414,0.0013563875
queue,0.0060647596,0.005820793
cant,-0.0010670193,-0.0040710997
spell,-0.0033984466,0.0012200758
checking,-0.007789181,0.0013919271
without,0.003612806,0.002057404
correct,0.0045364643,0.006693908
must,0.002321208,-0.0012920472
grrr,0.0036221996,1.8350816e-05
load,-0.00290443,-0.0011262392
feelin,0.0019914324,-0.00085007126
touch,0.0028829745,0.002103232
charge,-0.004686807,0.00108087
every,-0.0017126979,0.0032888227
running,0.00084852765,-0.0024012583
lowest,-0.0019216267,-0.0015586929
possible,-0.00070678786,-0.0027667682
screen,-0.002961687,0.0028073431
brightness,0.0048441314,0.011655211
basic,-0.0016731116,0.0079931915
flash,-0.00088384014,0.0019301928
discussion,0.0033118306,-0.0069346917
relevant,-0.008611479,-0.0038839574
asked,0.0014288739,0.0008885799
mayer,0.0018164954,-0.00040136318
remove,-0.00018323422,-0.005055366
deadly,0.0030796127,-0.0009942963
route,-0.001478051,0.006584571
map,0.00059222314,-0.0028792538
death,0.00016814425,0.002367884
valley,0.00060957007,0.0006705056
branded,-0.0003428655,0.0016637439
native,0.00097644737,0.0025110922
usage,0.0051224064,-0.0013500452
marissa,-0.0032401672,-0.0017939241
customer,-0.0009056526,2.8570355e-05
service,-0.00046046556,0.00015969227
quicker,0.0040657236,-0.00015568842
response,0.0007057949,0.005921619
douche,-0.0001742034,0.0014644164
cake,0.003306883,0.00056457624
amazing,0.0006797246,0.004362322
putting,0.0038486659,-0.0026413586
note,-0.0030913374,0.0031088407
sxswgood,0.00043464222,-0.0023232398
quotable,0.0032046388,3.715217e-05
flip,-0.0006442729,-0.0024683792
board,0.0031547467,0.00077260303
somebody,0.0003882903,0.0008493224
write,-0.000341153,-0.00975564
consistently,-0.005528802,-0.005881745
type,0.0022258745,0.0008266429
goddamn,0.003346631,-0.0046053897
jump,-0.0045411065,0.009141159
fuck,0.003970417,0.0035912166
respect,-0.00497011,-0.0002806924
wwsxsw,-0.009485201,0.0063085887
walk,0.0015487731,-0.00024843746
lady,-0.0091965245,-0.0010083794
bird,-0.0030263483,-0.0011289084
lake,-0.007498887,-0.0010186427
lovely,-0.0007871687,0.0035321065
travel,-0.0031533935,-0.0021769207
trusted,8.136522e-05,0.0007633119
calendar,-0.006271284,-0.0055046757
frankeninterface,-0.0013137747,0.0006616029
designed,0.0027980017,0.004787238
metaphor,-0.0032417085,-0.0013252946
us,0.0040195477,-0.002257786
enchantment,0.0039532557,0.003684654
window,0.004978054,-0.0018817849
voluntarily,-0.0013965984,-0.00434697
greatest,-1.5667287e-05,0.000981698
collection,-0.0019933863,0.0030253252
egomaniac,-0.004935379,0.0043963343
history,-0.0031258324,-0.0041928873
haha,0.00016520657,-0.003630974
sell,0.00034600036,0.0017033692
dream,-0.0036020686,-0.0015290501
steve,-0.0017856391,-0.0012309129
part,0.0036364633,-0.0017998904
made,0.003699311,-0.0015291998
suicidal,-0.00069418055,0.0024667946
chinese,0.0027339864,0.0016721183
vintage,0.0002159875,-0.0038790829
format,-0.0031087215,-0.0027891851
mostly,0.00088747975,-0.0032557496
snarky,-0.0035782522,0.0023866233
employee,-0.008645366,0.0034656075
day,-0.00077346066,-0.00041448575
always,0.0015615368,0.0073687215
important,-0.00039166884,0.0005582694
working,0.0013555409,0.0009173685
official,-0.003642393,0.0027398788
using,0.0017842704,0.000904439
photo,-0.0046957433,0.001764981
look,0.003269791,-8.953037e-05
weird,0.00049945933,0.004607428
excited,0.0043913326,0.00094156415
convince,-0.0008810981,0.0028977748
watch,-0.0022669372,0.0016603668
comedy,0.0012653536,0.007880874
crunch,-0.004351757,-0.0026236444
crippling,-9.113745e-06,-0.0049975403
voice,0.00052893185,0.0024190235
regular,0.00074582436,0.0013930652
texting,-0.006825986,-0.0012762187
expect,0.0054267854,-0.006160656
insidious,-0.0007455696,-0.0017944257
approach,-0.0064751194,0.003182685
disgraceful,0.0040906807,0.0023149236
libraries,-0.0047061387,0.009223592
bldg,0.0027124484,-0.004629002
appstore,-0.0009195604,-0.00023067581
wholistic,-0.0016340007,-0.002093669
mktg,-0.00027624695,-0.0027736786
awareness,0.0009395424,0.0033801876
strategy,0.0018590549,-0.0021626996
adoption,0.0030934247,-0.0031910369
rely,0.005335201,-0.0036355588
composed,-0.0053029894,0.0030126565
acerbic,-0.00060136284,0.0042857793
cynical,0.0021219703,4.1132487e-05
crashed,8.3794854e-05,0.0056570563
dumped,-0.0034904205,0.0054179784
twitterpower,0.007824877,-0.0027939458
imthatgood,-0.0014651469,-0.002056898
meet,-0.0026156139,-1.7652834e-05
lover,-0.0042308085,0.0054118778
tiff,0.0034522621,0.00012842465
month,0.0016484675,-0.0009277379
disappointingly,-3.2140838e-06,0.0008878689
friendly,0.001976582,-0.00558488
page,-0.0019682837,0.0019897632
rank,-0.005805412,0.0020780137
ridiculously,0.0026962461,0.008850326
franken,0.002989645,-0.002828603
justin,-0.0035637403,-0.00548868
timberlake,0.000918653,0.00084478775
flaw,0.00029690829,-0.0024706165
stay,0.00251573,0.0014738665
switch,-0.006108272,-0.0055873916
ipaddesignheadaches,-0.0029370233,0.002063086
kinda,0.0018170909,-0.00292438
embarrassed,0.0018005922,-0.006483247
annoyed,0.004536864,0.0031363592
forbidden,0.0038553525,0.00027371477
spoiled,-0.0031624038,-0.0035767965
live,-0.0052874144,0.002487539
rocking,0.0008828686,-0.0024144342
world,-0.0019332556,0.0006325167
disappointed,0.0005181642,0.0034965975
overlapping,-0.0012269624,0.0010060049
example,0.005579434,0.0008895972
fest,0.005063549,-0.0024287063
fellow,-0.0022490956,0.0063749733
festgoers,0.0016363375,-0.0012227694
film,0.0004549018,-0.004819683
anybody,-0.006261054,0.002476977
downloaded,0.009189957,0.0010861469
stuck,-0.0018225124,-0.0072167898
downloading,-0.0059097963,-0.0030932166
startup,-0.0002728843,0.003670681
srsly,-0.0023977144,0.002721182
promo,0.005062385,-0.0012468109
excludes,-0.0056137946,0.00017816685
since,0.0027829949,-0.00048191557
insists,0.0062216907,-0.0013948331
disney,0.0020187118,0.0025259594
autocorrect,-0.0039726696,-0.001647634
tried,-0.00780182,-0.00095903367
