text,product,target,clean
ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,2,talking link google effort allow user open system bettercloud sxsw
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,1,link quot google tweet quot quot think speak quot mark belinsky tweet panel sxsw
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,2,link stop sxsw chaos hunt austin java game chance ipad
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,1,link those sxsw check holler gram ipad link
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,1,google sxsw link
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,1,quot link kawasaki talk enchanted sxsw know stuff book internet apple sxsw quot
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,1,futuremf link spec recipe google search link sxsw
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,2,omfg heard apple store downtown austin pic already gowalla link sxsw ipad
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,1,smile think apple quot store quot austin would interesting actually know popped sxsw
Again? RT @mention Line at the Apple store is insane.. #sxsw,,0,again line apple store insane sxsw
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,1,agree wait fiona apple town somebody kidnap recording studio record album sxsw
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,1,sxsw wanna drink fado link join
attending @mention iPad design headaches #sxsw {link},iPad,0,attending ipad design headache sxsw link
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,0,boooo flipboard developing iphone version android say sxsw
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,2,check line ipad austin power sxswi sxsw link
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,1,check giving added value location based service need battle check fatigue google pnid sxsw
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,1,chilcott sxsw stand talking blogger staff late competition best tweet mentioning shirt
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,2,come party google tonight sxsw link band food cream nifty interactive map
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,1,gowalla promise launch foursquare check groupon reward type service sxsw finger crossed link
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,1,sxsw news yahoo loosing search traffic site google doubt last weird name
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,2,holla google party best ever butt sxsw
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,2,love iphone case sxsw phone fail
I worship @mention {link} #SXSW,,1,worship link sxsw
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,1,ipad droid agnerd confession using laptop ipad blackberry follow sxsw
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,1,launching sxsw denies social network called circle will debut today despite report link
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,2,post iphone make easy connect social network people meet link sxsw
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,2,nice iphone behaving today crash yesterday ridiculous sxsw
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,1,nice apple opening popup store ipad launch downtown austin sxsw link
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,2,nice apple fan peek space slated sxsw apple store tomorrow link
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,2,thing great great earth face google company love sxsw sxwsi
Stay tune @mention showcase #H4ckers {link} #SXSW,,1,stay tune showcase ckers link sxsw
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,1,thank touchingstories preso sxsw here deck link
Thank you @mention for an awesome #sxsw party! {link},,1,thank awesome sxsw party link
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,1,thanks trying contact friend family japan created person finder link sxsw
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,2,thanks mention speech ipad apps showcased sxsw conf link sxswh sxsh
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,,1,thanks publishing news medical apps sxswi conf blog link sxsw sxswh
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,1,thanks publishing news medical apps sxswi conf blog link sxsw sxswh mhealth
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,0,what sxsw provide iphone charger changed mind going next year
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,1,wonder apple flashmob tcrn sxsw ipad
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,1,wonder putting tip sxsw suxsw
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,2,xmas shiny apps book ipad store sxsw christmas nerd
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,2,ubersocial iphone store includes uberguide sxsw sponsored cont link
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,1,another free sxsw link sxsw
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,2,fast future google presenting sxsw search local mobile
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,1,google industry party tonight link sxsw austin welivehere gsdm
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,1,buzz quot google launch major social network called circle possibly today link sxsw quot
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,2,headline quot ipad must have gadget sxsw quot could seen coming link gadget
ÛÏ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,,1,quot apple opened store austin nerd town sxsw ipads link wow
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,0,know quot dataviz quot translates quot satanic quot iphone sayin sxsw
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,2,quot google launched checkins month quot check check out future sxsw bizzy
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,1,quot google launched checkins month quot check check out future sxsw bizzy
"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,2,quot google tweet quot quot think speak quot mark belinsky tweet panel sxsw
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,1,attending quot left brain search google right brain search quot bettersearch talking future search engine sxsw
#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,1,open quot mobile park quot content incubator sxsw link apple construct quot quot store link
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,2,kawasaki quot lewis level reasoning apple continued existence evidence existence quot bawling sxsw
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,1,kawasaki quot pagemaker saved apple quot day sxsw jwtatl enchantment
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,2,kawasaki quot pagemaker saved apple quot day sxsw jwtatl enchantment
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,2,spark android teamandroid award sxsw read link
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,1,unboxing apple sxsw apple store sxsw link
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,2,sxsw apple ipad great thought japan apac region dealing earthquake tsunami trauma sxswi
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,1,sxsw apple school marketing expert sxsw cnet blog link
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,2,sxsw apple school marketing expert link
"At #SXSW, #Apple schools the marketing experts {link}",,1,sxsw apple school marketing expert link
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,2,temporary apple store tent powerhouse sxsw link
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,2,temporary apple store congress sxsw along happy hipster
ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,2,apple win sxsw link opening temporary store downtown austin support ipad launch that good
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,2,ipad austin trending today have sxsw nerdy nerd
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",,1,headed austin sxsw check newbie link enjoy
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,,1,funny austin trending sxsw only matter minute point least according twitter iphone
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,2,christian ipad iphone devs want talk sxsw maybe together cool
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,,1,sxsw ipad uxdes remember ultimately aware audience targeted towards unexpected experience good
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,2,apple ipad taken sxsw austin storm link excited part mobile
I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,2,ipad ifrom sxsw link
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,2,stack ipad waiting bought sxsw mine hassle apple handled perfectly link
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",,1,google mobile future elusive power here link eurorscg sxsw sxswi
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",,1,notatsxsw sxsw link free download meet nearby pep
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,2,doe smallbiz need review play google place link seo sxsw
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,,1,doe smallbiz need review play google place link seo sxsw
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",,1,samsung sony follow apple lead link austin atx sxsw
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",,1,samsung sony follow apple lead link austin atx sxsw
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,2,take sxsw major south korean director get make movie entirely iphone link
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,2,beautiful sxsw apple store sxsw link
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,,1,sxsw sxswi prep amazing push locally focus location based google owns region billboard chat
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,,1,sxsw account need follow apps download iphone
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,,1,headed sxsw want share gather contact info link turn iphone business card broadcaster
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},,1,headed sxsw want share gather contact info link turn iphone link
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,,1,sxsw apple store sold model
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,2,must sxsw lovely review forbes sxsw ipad holler gram link
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,2,temporary sxsw apple store apple sneaky usual link
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,,1,anyone sxsw apple store austin that gotta hopping place today
ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,2,sxsw beta testing interactive book ipad moonbot studio louisiana cool
Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,2,apple sxsw seeing ipad
#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,,1,fastball sxsw giving away ipad wifi black apple cover tweet info sxswi attsxsw tonight house
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,,1,anyone sxsw chance check apple store wondering worth trek convention center
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,iPad,2,sxsw ipad store sold everything except wifi white manage
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,iPad,2,sxsw ipad store sold everything except wifi white also known white jean configuration
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,2,offered sxsw ipad promo ninjafinder user fan sxsw suck sxsw
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,,1,sxsw austin conference google search interactive music film
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,,1,anyone sxsw know apple selling ipad
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,,1,anyone sxsw know apple store shipment ipads
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,,1,marc ecko sxsw launch iphone autodial political change link edreform edtech eduvc fightthepaddle
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,2,poursite sxsw learning life changing impact ipad real people actual life bravo
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,,2,sxsw lonelyplanet austin guide iphone free limited time link travel
"More free #SXSW mp3 downloads, this time from iTunes: {link}",,1,more free sxsw downloads time itunes link
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,,1,anyone sxsw heading aclu event seen google circle
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,,1,sxsw prompt memory google describe childhood walk
The Apple #SXSW store still has iPad 2's and short lines.,iPad,2,apple sxsw store still ipad short line
Essential #sxsw tools: {link},,1,essential sxsw tool link
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,2,just left sxsw tradeshow demo google theatre presenter using
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",,1,following sxsw tweet google realtime four platform tweet deck listening panel realizing spoken today
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,,1,anyone sxsw want ipad line pick someone willing grab
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,2,anyone sxsw want make quick hundred dollar ipad apple store get hundred plus cost
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),,1,solving sxsw induced iphone toilet crisis apple store crisis
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,2,monday sxsw barry diller york time congress lunch hotel party google party dirty martini monday
Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,,1,attending sxsw austin guide free download itunes link
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,0,seriously sxsw testing mobile apps constant ipad crash causing lost schedule sync
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,2,ready sxsw here iphone apps make blogging easier link sxsw sxswi
ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,0,ipad sxsw conflagration doofusness link
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,2,attention sxsw link rumored temporary apple store sxsw ipad launch need
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,2,went sxswi lousy ipad sxsw link
Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},,1,sxsw sxswi folk want learn security come bsidesaustin link
Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,,1,attending sxswi work iphone ipad game development looking hire austin based developer talk sxsw
This is a #WINNING picture #android #google #sxsw {link},Android,2,this winning picture android google sxsw link
GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,,1,google what best party tonight sxsw
GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},,1,google industry party sxsw great meet link
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,0,spent come sxsw already used ipad wait couple city block ipad sxsw link
#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},,1,sxsw marissa mayer google will connect digital physical world through mobile link
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,2,behind email give line iphone composed reply sxsw protip
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,2,like night line around block popup apple store selling ipad sxsw
.@mention 1154 free songs from #SXSW (this year alone!) {link},,1,free song sxsw year alone link
more than 150 million mobile users for Google Maps for Mobile #SXSW,,1,million mobile user google map mobile sxsw
Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,,1,currently people line quot apple store quot sxsw
"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",,1,only ipad available sxsw wifi model plus optional leather smart cover
